Geracao,Custo
0,14165.00
20,13949.00
40,13911.00
60,13911.00
80,13911.00
100,13911.00
120,13911.00
140,13911.00
160,13911.00
180,13860.00
200,13860.00
220,13860.00
240,13855.00
260,13855.00
280,13855.00
300,13849.00
320,13849.00
340,13849.00
360,13849.00
380,13849.00
400,13849.00
420,13849.00
440,13849.00
460,13849.00
480,13849.00
500,13849.00
520,13833.00
540,13833.00
560,13833.00
580,13833.00
600,13833.00
620,13833.00
640,13833.00
660,13833.00
680,13833.00
700,13833.00
720,13833.00
740,13827.00
760,13827.00
780,13827.00
800,13827.00
820,13827.00
840,13795.00
860,13795.00
880,13795.00
900,13795.00
920,13795.00
940,13784.00
960,13784.00
980,13784.00
1000,13755.00
1020,13755.00
1040,13755.00
1060,13755.00
1080,13755.00
1100,13755.00
1120,13755.00
1140,13755.00
1160,13755.00
1180,13755.00
1200,13755.00
1220,13755.00
1240,13755.00
1260,13755.00
1280,13755.00
1300,13755.00
1320,13755.00
1340,13755.00
1360,13755.00
1380,13755.00
1400,13755.00
1420,13755.00
1440,13755.00
1460,13755.00
1480,13755.00
1500,13755.00
1520,13755.00
1540,13755.00
1560,13755.00
1580,13755.00
1600,13755.00
1620,13755.00
1640,13677.00
1660,13677.00
1680,13677.00
1700,13677.00
1720,13677.00
1740,13677.00
1760,13677.00
1780,13677.00
1800,13677.00
1820,13677.00
1840,13677.00
1860,13677.00
1880,13677.00
1900,13677.00
1920,13677.00
1940,13677.00
1960,13677.00
1980,13677.00
