Geracao,Custo
0,1081.98
1,1081.98
2,1081.98
3,1081.98
4,1081.98
5,1081.98
6,1081.98
7,1081.98
8,1081.98
9,1081.98
10,1081.98
11,1081.98
12,1081.98
13,1081.98
14,1081.98
15,1081.98
16,1081.98
17,1081.98
18,1081.98
19,1081.98
20,1081.98
21,1081.98
22,1081.98
23,1081.98
24,1081.98
25,1081.98
26,1081.98
27,1081.98
28,1081.98
29,1081.98
30,1081.98
31,1081.98
32,1081.98
33,1081.98
34,1081.98
35,1081.98
36,1081.98
37,1081.98
38,1081.98
39,1081.98
40,1081.98
41,1081.98
42,1081.98
43,1081.98
44,1081.98
45,1081.98
46,1075.37
47,1075.37
48,1075.37
49,1075.37
50,1075.37
51,1075.37
52,1075.37
53,1075.37
54,1075.37
55,1075.37
56,1075.37
57,1075.37
58,1075.37
59,1075.37
60,1075.37
61,1075.37
62,1075.37
63,1075.37
64,1075.37
65,1075.37
66,1075.37
67,1075.37
68,1075.37
69,1075.37
70,1075.37
71,1075.37
72,1075.37
73,1075.37
74,1075.37
75,1075.37
76,1075.37
77,1075.37
78,1075.37
79,1075.37
80,1075.37
81,1075.37
82,1075.37
83,1075.37
84,1075.37
85,1075.37
86,1075.37
87,1075.37
88,1075.37
89,1075.37
90,1075.37
91,1075.37
92,1075.37
93,1075.37
94,1075.37
95,1075.37
96,1075.37
97,1075.37
98,1075.37
99,1075.37
100,1075.37
101,1075.37
102,1075.37
103,1075.37
104,1075.37
105,1075.37
106,1075.37
107,1075.37
108,1075.37
109,1075.37
110,1075.37
111,1075.37
112,1075.37
113,1075.37
114,1075.37
115,1075.37
116,1069.14
117,1069.14
118,1069.14
119,1069.14
120,1069.14
121,1069.14
122,1069.14
123,1069.14
124,1069.14
125,1069.14
126,1069.14
127,1069.14
128,1069.14
129,1069.14
130,1069.14
131,1069.14
132,1069.14
133,1069.14
134,1069.14
135,1069.14
136,1069.14
137,1069.14
138,1069.14
139,1069.14
140,1069.14
141,1069.14
142,1069.14
143,1069.14
144,1069.14
145,1069.14
146,1069.14
147,1069.14
148,1069.14
149,1069.14
150,1069.14
151,1069.14
152,1069.14
153,1069.14
154,1069.14
155,1069.14
156,1069.14
157,1069.14
158,1069.14
159,1069.14
160,1069.14
161,1069.14
162,1069.14
163,1069.14
164,1069.14
165,1069.14
166,1069.14
167,1069.14
168,1069.14
169,1069.14
170,1069.14
171,1069.14
172,1069.14
173,1069.14
174,1069.14
175,1069.14
176,1069.14
177,1069.14
178,1069.14
179,1069.14
180,1069.14
181,1069.14
182,1069.14
183,1069.14
184,1069.14
185,1069.14
186,1069.14
187,1069.14
188,1069.14
189,1069.14
190,1069.14
191,1069.14
192,1069.14
193,1069.14
194,1069.14
195,1069.14
196,1069.14
197,1069.14
198,1069.14
199,1069.14
200,1069.14
201,1069.14
202,1069.14
203,1069.14
204,1069.14
205,1069.14
206,1069.14
207,1069.14
208,1069.14
209,1069.14
210,1069.14
211,1069.14
212,1062.24
213,1062.24
214,1062.24
215,1062.24
216,1062.24
217,1062.24
218,1062.24
219,1062.24
220,1062.24
221,1062.24
222,1062.24
223,1062.24
224,1062.24
225,1062.24
226,1062.24
227,1062.24
228,1062.24
229,1062.24
230,1062.24
231,1062.24
232,1062.24
233,1062.24
234,1062.24
235,1062.24
236,1062.24
237,1062.24
238,1062.24
239,1062.24
240,1062.24
241,1062.24
242,1062.24
243,1062.24
244,1062.24
245,1062.24
246,1062.24
247,1062.24
248,1062.24
249,1062.24
250,1062.24
251,1062.24
252,1062.24
253,1062.24
254,1062.24
255,1062.24
256,1062.24
257,1062.24
258,1062.24
259,1062.24
260,1062.24
261,1062.24
262,1062.24
263,1062.24
264,1062.24
265,1062.24
266,1062.24
267,1062.24
268,1062.24
269,1062.24
270,1062.24
271,1062.24
272,1062.24
273,1062.24
274,1062.24
275,1062.24
276,1062.24
277,1062.24
278,1062.24
279,1062.24
280,1062.24
281,1062.24
282,1062.24
283,1062.24
284,1062.24
285,1062.24
286,1062.24
287,1062.24
288,1062.24
289,1062.24
290,1062.24
291,1062.24
292,1062.24
293,1062.24
294,1062.24
295,1062.24
296,1062.24
297,1062.24
298,1062.24
299,1062.24
300,1062.24
301,1062.24
302,1062.24
303,1062.24
304,1062.24
305,1062.24
306,1062.24
307,1062.24
308,1062.24
309,1062.24
310,1062.24
311,1062.24
312,1062.24
313,1062.24
314,1062.24
315,1062.24
316,1062.24
317,1062.24
318,1062.24
319,1062.24
320,1062.24
321,1062.24
322,1062.24
323,1062.24
324,1062.24
325,1062.24
326,1062.24
327,1062.24
328,1062.24
329,1062.24
330,1062.24
331,1062.24
332,1062.24
333,1062.24
334,1062.24
335,1062.24
336,1062.24
337,1062.24
338,1062.24
339,1062.24
340,1062.24
341,1062.24
342,1062.24
343,1062.24
344,1062.24
345,1062.24
346,1062.24
347,1062.24
348,1062.24
349,1062.24
350,1062.24
351,1062.24
352,1062.24
353,1062.24
354,1062.24
355,1062.24
356,1062.24
357,1062.24
358,1062.24
359,1062.24
360,1062.24
361,1062.24
362,1062.24
363,1062.24
364,1062.24
365,1062.24
366,1062.24
367,1062.24
368,1062.24
369,1062.24
370,1062.24
371,1062.24
372,1062.24
373,1062.24
374,1062.24
375,1062.24
376,1062.24
377,1062.24
378,1062.24
379,1062.24
380,1062.24
381,1062.24
382,1062.24
383,1062.24
384,1062.24
385,1062.24
386,1060.68
387,1060.68
388,1060.68
389,1060.68
390,1060.68
391,1060.68
392,1060.68
393,1060.68
394,1060.68
395,1060.68
396,1060.68
397,1060.68
398,1060.68
399,1060.68
400,1060.68
401,1060.68
402,1060.68
403,1060.68
404,1060.68
405,1060.68
406,1060.68
407,1060.68
408,1060.68
409,1060.68
410,1060.68
411,1060.68
412,1060.68
413,1060.68
414,1060.68
415,1060.68
416,1060.68
417,1060.68
418,1060.68
419,1060.68
420,1060.68
421,1060.68
422,1060.68
423,1060.68
424,1060.68
425,1060.68
426,1060.68
427,1060.68
428,1060.68
429,1060.68
430,1060.68
431,1060.68
432,1060.68
433,1060.68
434,1060.68
435,1060.68
436,1060.68
437,1060.68
438,1060.68
439,1060.68
440,1060.68
441,1060.68
442,1060.68
443,1060.68
444,1060.68
445,1060.68
446,1060.68
447,1060.68
448,1060.68
449,1060.68
450,1060.68
451,1060.68
452,1060.68
453,1060.68
454,1060.68
455,1060.68
456,1060.68
457,1060.68
458,1060.68
459,1060.68
460,1060.68
461,1060.68
462,1060.68
463,1060.68
464,1060.68
465,1060.68
466,1060.68
467,1060.68
468,1060.68
469,1060.68
470,1060.68
471,1060.68
472,1060.68
473,1060.68
474,1060.68
475,1060.68
476,1060.68
477,1060.68
478,1060.68
479,1060.68
480,1060.68
481,1060.68
482,1060.68
483,1060.68
484,1060.68
485,1060.68
486,1060.68
487,1060.68
488,1060.68
489,1060.68
490,1060.68
491,1060.68
492,1060.68
493,1060.68
494,1060.68
495,1060.68
496,1060.68
497,1060.68
498,1060.68
499,1060.68
500,1060.68
501,1060.68
502,1060.68
503,1060.68
504,1060.68
505,1060.68
506,1060.68
507,1060.68
508,1060.68
509,1060.68
510,1060.68
511,1060.68
512,1060.68
513,1060.68
514,1060.68
515,1060.68
516,1060.68
517,1060.68
518,1060.68
519,1060.68
520,1060.68
521,1060.68
522,1060.68
523,1060.68
524,1060.68
525,1060.68
526,1060.68
527,1060.68
528,1060.68
529,1060.68
530,1060.68
531,1060.68
532,1060.68
533,1060.68
534,1060.68
535,1060.68
536,1060.68
537,1060.68
538,1060.68
539,1060.68
540,1060.68
541,1060.68
542,1060.68
543,1060.68
544,1060.68
545,1060.68
546,1060.68
547,1060.68
548,1060.68
549,1060.68
550,1060.68
551,1060.68
552,1060.68
553,1060.68
554,1060.68
555,1050.10
556,1050.10
557,1050.10
558,1050.10
559,1050.10
560,1050.10
561,1050.10
562,1050.10
563,1050.10
564,1050.10
565,1050.10
566,1050.10
567,1050.10
568,1050.10
