instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste01,50,39,609.16,597.29,11.87,1.95,7.15,321,300,20,estagnacao,0.035
Teste01,50,40,604.75,597.29,7.46,1.23,7.15,311,300,10,estagnacao,0.034
Teste01,50,41,601.99,596.93,5.06,0.84,7.08,378,300,77,estagnacao,0.041
Teste01,50,42,597.29,597.29,0.0,0.0,7.15,300,300,-1,estagnacao,0.031
Teste01,50,43,597.81,597.29,0.52,0.09,7.15,307,300,6,estagnacao,0.034
Teste01,50,44,597.29,557.86,39.43,6.6,0.08,405,300,104,estagnacao,0.042
Teste01,50,45,596.93,596.93,0.0,0.0,7.08,300,300,-1,estagnacao,0.032
Teste01,50,46,597.29,597.29,0.0,0.0,7.15,300,300,-1,estagnacao,0.034
Teste01,50,47,597.29,594.76,2.53,0.42,6.69,398,300,97,estagnacao,0.044
Teste01,50,48,597.29,597.29,0.0,0.0,7.15,300,300,-1,estagnacao,0.03
Teste01,100,39,602.33,595.73,6.6,1.1,6.87,339,300,38,estagnacao,0.042
Teste01,100,40,597.29,597.29,0.0,0.0,7.15,300,300,-1,estagnacao,0.036
Teste01,100,41,601.99,596.93,5.06,0.84,7.08,563,300,262,estagnacao,0.062
Teste01,100,42,597.29,597.29,0.0,0.0,7.15,300,300,-1,estagnacao,0.038
Teste01,100,43,597.81,596.95,0.86,0.14,7.09,589,300,288,estagnacao,0.068
Teste01,100,44,597.29,557.86,39.43,6.6,0.08,812,300,511,estagnacao,0.092
Teste01,100,45,596.93,596.93,0.0,0.0,7.08,300,300,-1,estagnacao,0.038
Teste01,100,46,557.86,557.86,0.0,0.0,0.08,300,300,-1,estagnacao,0.034
Teste01,100,47,597.29,594.76,2.53,0.42,6.69,367,300,66,estagnacao,0.046
Teste01,100,48,597.29,596.93,0.36,0.06,7.08,380,300,79,estagnacao,0.048
Teste02,50,39,588.64,577.25,11.39,1.93,7.32,339,300,38,estagnacao,0.062
Teste02,50,40,579.48,548.99,30.49,5.26,2.06,535,300,234,estagnacao,0.089
Teste02,50,41,583.32,578.72,4.6,0.79,7.59,430,300,129,estagnacao,0.073
Teste02,50,42,588.19,544.6,43.59,7.41,1.25,339,300,38,estagnacao,0.051
