instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste01,50,39,609.16,597.29,11.87,1.95,7.15,326,150,175,estagnacao,0.006
Teste01,50,40,604.75,597.29,7.46,1.23,7.15,349,150,198,estagnacao,0.005
Teste01,50,41,601.99,601.99,0.0,0.0,7.99,150,150,-1,estagnacao,0.004
Teste01,50,42,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.004
Teste01,50,43,597.81,597.29,0.52,0.09,7.15,266,150,115,estagnacao,0.004
Teste01,50,44,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.003
Teste01,50,45,596.93,596.93,0.0,0.0,7.08,150,150,-1,estagnacao,0.004
Teste01,50,46,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.007
Teste01,50,47,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.002
Teste01,50,48,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.005
Teste01,100,39,602.33,597.29,5.04,0.84,7.15,164,150,13,estagnacao,0.009
Teste01,100,40,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.011
Teste01,100,41,601.99,597.29,4.7,0.78,7.15,346,150,195,estagnacao,0.013
Teste01,100,42,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.01
Teste01,100,43,597.81,597.29,0.52,0.09,7.15,343,150,192,estagnacao,0.009
Teste01,100,44,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.007
Teste01,100,45,596.93,596.93,0.0,0.0,7.08,150,150,-1,estagnacao,0.008
Teste01,100,46,557.86,557.86,0.0,0.0,0.08,150,150,-1,estagnacao,0.006
Teste01,100,47,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.008
Teste01,100,48,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.006
Teste02,50,39,588.64,586.89,1.75,0.3,9.11,510,250,259,estagnacao,0.013
Teste02,50,40,579.48,579.48,0.0,0.0,7.73,250,250,-1,estagnacao,0.008
Teste02,50,41,583.32,583.32,0.0,0.0,8.45,250,250,-1,estagnacao,0.007
Teste02,50,42,588.19,588.19,0.0,0.0,9.35,250,250,-1,estagnacao,0.01
Teste02,50,43,559.61,559.61,0.0,0.0,4.04,250,250,-1,estagnacao,0.006
Teste02,50,44,583.78,583.78,0.0,0.0,8.53,250,250,-1,estagnacao,0.012
Teste02,50,45,589.02,588.52,0.5,0.08,9.41,291,250,40,estagnacao,0.008
Teste02,50,46,574.72,574.72,0.0,0.0,6.85,250,250,-1,estagnacao,0.007
Teste02,50,47,544.6,544.6,0.0,0.0,1.25,250,250,-1,estagnacao,0.007
Teste02,50,48,579.54,553.26,26.28,4.53,2.86,343,250,92,estagnacao,0.007
Teste02,100,39,582.7,578.72,3.98,0.68,7.59,295,250,44,estagnacao,0.011
Teste02,100,40,579.48,579.48,0.0,0.0,7.73,250,250,-1,estagnacao,0.012
Teste02,100,41,566.63,566.63,0.0,0.0,5.34,250,250,-1,estagnacao,0.011
Teste02,100,42,588.19,580.58,7.61,1.29,7.94,576,250,325,estagnacao,0.015
Teste02,100,43,553.79,548.32,5.47,0.99,1.94,663,250,412,estagnacao,0.014
Teste02,100,44,583.78,583.78,0.0,0.0,8.53,250,250,-1,estagnacao,0.014
Teste02,100,45,588.92,578.72,10.2,1.73,7.59,335,250,84,estagnacao,0.015
Teste02,100,46,574.72,567.96,6.76,1.18,5.59,410,250,159,estagnacao,0.012
Teste02,100,47,537.89,537.89,0.0,0.0,0.0,250,250,-1,estagnacao,0.013
Teste02,100,48,564.22,553.26,10.96,1.94,2.86,325,250,74,estagnacao,0.015
Teste03,50,39,527.75,527.34,0.41,0.08,1.89,451,350,100,estagnacao,0.011
Teste03,50,40,527.34,517.52,9.82,1.86,-0.01,544,350,193,estagnacao,0.012
Teste03,50,41,539.66,531.65,8.01,1.48,2.72,645,350,294,estagnacao,0.02
Teste03,50,42,562.3,558.1,4.2,0.75,7.83,370,350,19,estagnacao,0.01
Teste03,50,43,530.97,530.97,0.0,0.0,2.59,350,350,-1,estagnacao,0.017
Teste03,50,44,527.34,527.34,0.0,0.0,1.89,350,350,-1,estagnacao,0.01
Teste03,50,45,535.97,535.97,0.0,0.0,3.55,350,350,-1,estagnacao,0.012
Teste03,50,46,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.012
Teste03,50,47,562.93,562.3,0.63,0.11,8.64,499,350,148,estagnacao,0.014
Teste03,50,48,527.34,527.34,0.0,0.0,1.89,350,350,-1,estagnacao,0.011
Teste03,100,39,527.75,527.75,0.0,0.0,1.96,350,350,-1,estagnacao,0.017
Teste03,100,40,527.34,527.34,0.0,0.0,1.89,350,350,-1,estagnacao,0.017
Teste03,100,41,531.89,515.3,16.59,3.12,-0.44,421,350,70,estagnacao,0.02
Teste03,100,42,527.07,527.07,0.0,0.0,1.83,350,350,-1,estagnacao,0.015
Teste03,100,43,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.013
Teste03,100,44,527.34,517.52,9.82,1.86,-0.01,809,350,458,estagnacao,0.019
Teste03,100,45,517.58,517.58,0.0,0.0,0.0,350,350,-1,estagnacao,0.015
Teste03,100,46,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.013
Teste03,100,47,527.34,527.34,0.0,0.0,1.89,350,350,-1,estagnacao,0.02
Teste03,100,48,527.07,527.07,0.0,0.0,1.83,350,350,-1,estagnacao,0.012
Teste04,50,39,1246.48,1217.33,29.15,2.34,4.69,447,250,196,estagnacao,0.034
Teste04,50,40,1277.28,1208.48,68.8,5.39,3.93,656,250,405,estagnacao,0.02
Teste04,50,41,1291.1,1216.76,74.34,5.76,4.64,1089,250,838,estagnacao,0.03
Teste04,50,42,1225.35,1225.35,0.0,0.0,5.38,250,250,-1,estagnacao,0.019
Teste04,50,43,1231.92,1231.92,0.0,0.0,5.94,250,250,-1,estagnacao,0.01
Teste04,50,44,1266.14,1238.06,28.08,2.22,6.47,558,250,307,estagnacao,0.024
Teste04,50,45,1269.96,1269.96,0.0,0.0,9.22,250,250,-1,estagnacao,0.013
Teste04,50,46,1222.98,1222.98,0.0,0.0,5.18,250,250,-1,estagnacao,0.01
Teste04,50,47,1267.74,1211.28,56.46,4.45,4.17,415,250,164,estagnacao,0.015
