instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste01,50,39,609.16,597.29,11.87,1.95,7.15,228,150,77,estagnacao,0.005
Teste01,50,40,604.75,597.29,7.46,1.23,7.15,177,150,26,estagnacao,0.006
Teste01,50,41,601.99,597.29,4.7,0.78,7.15,163,150,12,estagnacao,0.004
Teste01,50,42,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.004
Teste01,50,43,597.81,597.29,0.52,0.09,7.15,167,150,16,estagnacao,0.004
Teste01,50,44,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.003
Teste01,50,45,596.93,596.93,0.0,0.0,7.08,150,150,-1,estagnacao,0.004
Teste01,50,46,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.004
Teste01,50,47,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.003
Teste01,50,48,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.003
Teste01,100,39,602.33,597.29,5.04,0.84,7.15,164,150,13,estagnacao,0.006
Teste01,100,40,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.005
Teste01,100,41,601.99,597.29,4.7,0.78,7.15,171,150,20,estagnacao,0.006
Teste01,100,42,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.006
Teste01,100,43,597.81,597.29,0.52,0.09,7.15,250,150,99,estagnacao,0.006
Teste01,100,44,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.006
Teste01,100,45,596.93,596.93,0.0,0.0,7.08,150,150,-1,estagnacao,0.006
Teste01,100,46,557.86,557.86,0.0,0.0,0.08,150,150,-1,estagnacao,0.006
Teste01,100,47,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.006
Teste01,100,48,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.005
