instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste01,50,39,609.16,597.29,11.87,1.95,7.15,158,150,7,estagnacao,0.019
Teste01,50,40,604.75,597.29,7.46,1.23,7.15,161,150,10,estagnacao,0.016
Teste01,50,41,601.99,557.44,44.55,7.4,0.0,257,150,106,estagnacao,0.025
Teste01,50,42,597.29,594.76,2.53,0.42,6.69,228,150,77,estagnacao,0.032
Teste01,50,43,597.81,597.29,0.52,0.09,7.15,157,150,6,estagnacao,0.02
Teste01,50,44,597.29,557.86,39.43,6.6,0.08,156,150,5,estagnacao,0.021
Teste01,50,45,596.93,595.73,1.2,0.2,6.87,182,150,31,estagnacao,0.021
Teste01,50,46,597.29,596.93,0.36,0.06,7.08,243,150,92,estagnacao,0.032
Teste01,50,47,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.02
Teste01,50,48,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.026
Teste01,100,39,602.33,597.29,5.04,0.84,7.15,164,150,13,estagnacao,0.026
Teste01,100,40,597.29,595.73,1.56,0.26,6.87,155,150,4,estagnacao,0.022
Teste01,100,41,601.99,594.76,7.23,1.2,6.69,239,150,88,estagnacao,0.044
Teste01,100,42,597.29,557.86,39.43,6.6,0.08,240,150,89,estagnacao,0.055
Teste01,100,43,597.81,597.29,0.52,0.09,7.15,162,150,11,estagnacao,0.023
Teste01,100,44,597.29,597.29,0.0,0.0,7.15,150,150,-1,estagnacao,0.018
Teste01,100,45,596.93,596.93,0.0,0.0,7.08,150,150,-1,estagnacao,0.018
Teste01,100,46,557.86,557.86,0.0,0.0,0.08,150,150,-1,estagnacao,0.021
Teste01,100,47,597.29,594.76,2.53,0.42,6.69,210,150,59,estagnacao,0.032
Teste01,100,48,597.29,596.93,0.36,0.06,7.08,209,150,58,estagnacao,0.032
Teste02,50,39,588.64,556.03,32.61,5.54,3.37,390,250,139,estagnacao,0.102
Teste02,50,40,579.48,548.99,30.49,5.26,2.06,308,250,57,estagnacao,0.065
Teste02,50,41,583.32,548.99,34.33,5.89,2.06,448,250,197,estagnacao,0.103
Teste02,50,42,588.19,544.6,43.59,7.41,1.25,295,250,44,estagnacao,0.066
Teste02,50,43,559.61,548.99,10.62,1.9,2.06,431,250,180,estagnacao,0.068
Teste02,50,44,583.78,577.25,6.53,1.12,7.32,477,250,226,estagnacao,0.085
Teste02,50,45,589.02,577.25,11.77,2.0,7.32,345,250,94,estagnacao,0.054
Teste02,50,46,574.72,567.96,6.76,1.18,5.59,366,250,115,estagnacao,0.067
Teste02,50,47,544.6,544.6,0.0,0.0,1.25,250,250,-1,estagnacao,0.039
Teste02,50,48,553.26,553.26,0.0,0.0,2.86,250,250,-1,estagnacao,0.036
Teste02,100,39,582.7,578.72,3.98,0.68,7.59,274,250,23,estagnacao,0.051
Teste02,100,40,579.48,577.25,2.23,0.38,7.32,390,250,139,estagnacao,0.07
Teste02,100,41,566.63,566.63,0.0,0.0,5.34,250,250,-1,estagnacao,0.044
Teste02,100,42,588.19,579.03,9.16,1.56,7.65,316,250,65,estagnacao,0.052
Teste02,100,43,553.79,553.44,0.35,0.06,2.89,258,250,7,estagnacao,0.042
Teste02,100,44,583.78,569.01,14.77,2.53,5.79,437,250,186,estagnacao,0.093
Teste02,100,45,588.92,537.89,51.03,8.67,0.0,548,250,297,estagnacao,0.09
Teste02,100,46,574.72,556.03,18.69,3.25,3.37,323,250,72,estagnacao,0.053
Teste02,100,47,537.89,537.89,0.0,0.0,0.0,250,250,-1,estagnacao,0.046
Teste02,100,48,553.26,553.26,0.0,0.0,2.86,250,250,-1,estagnacao,0.043
Teste03,50,39,527.75,515.3,12.45,2.36,-0.44,368,350,17,estagnacao,0.086
Teste03,50,40,527.34,517.58,9.76,1.85,0.0,367,350,16,estagnacao,0.077
Teste03,50,41,539.66,517.58,22.08,4.09,0.0,456,350,105,estagnacao,0.122
Teste03,50,42,562.3,517.58,44.72,7.95,0.0,732,350,381,estagnacao,0.163
Teste03,50,43,530.97,515.3,15.67,2.95,-0.44,748,350,397,estagnacao,0.178
Teste03,50,44,527.34,515.3,12.04,2.28,-0.44,404,350,53,estagnacao,0.105
Teste03,50,45,535.97,515.3,20.67,3.86,-0.44,590,350,239,estagnacao,0.11
Teste03,50,46,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.065
Teste03,50,47,562.93,517.58,45.35,8.06,0.0,637,350,286,estagnacao,0.135
Teste03,50,48,527.34,517.58,9.76,1.85,0.0,390,350,39,estagnacao,0.079
Teste03,100,39,527.75,517.58,10.17,1.93,0.0,359,350,8,estagnacao,0.073
Teste03,100,40,527.34,517.58,9.76,1.85,0.0,647,350,296,estagnacao,0.129
Teste03,100,41,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.077
Teste03,100,42,527.07,517.58,9.49,1.8,0.0,363,350,12,estagnacao,0.09
Teste03,100,43,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.076
Teste03,100,44,527.34,515.3,12.04,2.28,-0.44,365,350,14,estagnacao,0.081
Teste03,100,45,517.58,515.3,2.28,0.44,-0.44,372,350,21,estagnacao,0.077
Teste03,100,46,515.3,515.3,0.0,0.0,-0.44,350,350,-1,estagnacao,0.075
Teste03,100,47,527.34,517.58,9.76,1.85,0.0,376,350,25,estagnacao,0.115
Teste03,100,48,527.07,527.07,0.0,0.0,1.83,350,350,-1,estagnacao,0.079
Teste04,50,39,1246.48,1204.58,41.9,3.36,3.59,267,250,16,estagnacao,0.095
Teste04,50,40,1277.28,1175.09,102.19,8.0,1.06,300,250,49,estagnacao,0.107
Teste04,50,41,1291.1,1175.16,115.94,8.98,1.06,572,250,321,estagnacao,0.247
Teste04,50,42,1225.35,1203.72,21.63,1.77,3.52,501,250,250,estagnacao,0.185
Teste04,50,43,1231.92,1157.3,74.62,6.06,-0.47,944,250,693,estagnacao,0.395
Teste04,50,44,1221.06,1169.99,51.07,4.18,0.62,507,250,256,estagnacao,0.176
Teste04,50,45,1269.96,1192.84,77.12,6.07,2.58,666,250,415,estagnacao,0.251
Teste04,50,46,1222.98,1165.46,57.52,4.7,0.23,442,250,191,estagnacao,0.152
Teste04,50,47,1259.52,1188.58,70.94,5.63,2.22,481,250,230,estagnacao,0.18
Teste04,50,48,1262.92,1177.52,85.4,6.76,1.27,482,250,231,estagnacao,0.17
Teste04,100,39,1222.15,1201.76,20.39,1.67,3.35,289,250,38,estagnacao,0.126
Teste04,100,40,1273.55,1203.23,70.32,5.52,3.48,438,250,187,estagnacao,0.184
Teste04,100,41,1242.02,1162.8,79.22,6.38,0.0,442,250,191,estagnacao,0.164
Teste04,100,42,1225.35,1200.44,24.91,2.03,3.24,259,250,8,estagnacao,0.153
